name,day,month,year,date,rating,comment,detailedReview
asna,19,October,2019,October 2019,5,Loved it ❤️ will buy again,"Good quantity of dry fruits
Nice taste
Me and my mom Loved it ❤️
Can use as a cruncy snack as itself
Use as overnight oats and chia preparation
Breakfast tastes like a pudding 😋👌😍😍"
Gourab De,19,October,2019,October 2019,5,Good product.,Love the taste.
Amit Mishra,19,October,2019,October 2019,4,Good One,Can Be Purchased
Amazon Customer,19,October,2019,October 2019,4,The best,I just loved it
VENKAT INTI,20,October,2019,October 2019,5,Very helpful for our helarh,Healthy food
pushpa devi,20,October,2019,October 2019,5,Good for health,Awesome
qwerty,21,October,2019,October 2019,4,"OPEN your package first, check all your contents and then only give money to the delivery guy.",Good product.
Priyanka thind,22,October,2019,October 2019,5,Healthy product.,"The product is very healthy and aspharagus(muesli)present in the product is high in fibres,iron."
pankaj,22,October,2019,October 2019,5,Yum yum,Yumyyyyy
Amazon Customer,25,October,2019,October 2019,5,Nice,Good taste
RambaSamba,25,October,2019,October 2019,5,Awesome,Awesome
GP,26,October,2019,October 2019,3,Fruits and seeds is not a good flavour,I love Dark chocolate and Almond/quinoa flavour. Fruits and seeds is my least favorite.
MOHAMMED SHAMSHEER,26,October,2019,October 2019,5,Yoga bar 👌🏻,Worth it better than other products in market go with yoga bar it has original taste
Ajung,26,October,2019,October 2019,5,Good,It is crunchy
abhinandan verma,26,October,2019,October 2019,5,Best one,Best one
Shyamali pramanik,27,October,2019,October 2019,5,Very nice product.good for health,Very nice product and good for health.
Amazonholic,28,October,2019,October 2019,1,Artificial taste,Artificial taste with taste of sugar. Didn't enjoy at all
sandeepchowdary,28,October,2019,October 2019,3,Ok Ok product.,"Its an ok ok product.
Not very tasty.
Quality is good."
Manish,28,October,2019,October 2019,4,Yoga mix,Like the product but quantity don't qualify for price. More canberry needed
Satya,28,October,2019,October 2019,3,Good,Good
Dr Pinku Pradhan,29,October,2019,October 2019,5,😍🥰,Juyst loved it
Tooba Saleem,29,October,2019,October 2019,5,Best for breakfast,Good and healthy product
niraj,29,October,2019,October 2019,5,Perfect morning breakfast,Great
Vijay,29,October,2019,October 2019,1,Not up to the mark,Taste is not really good after first bite you won't feel like have again.
Dietitian,29,October,2019,October 2019,5,Expensive,Quality product but expensive.
Adarsh Chandran C S,29,October,2019,October 2019,5,Good for health,Good for health Nutrition expert
Varshith,30,October,2019,October 2019,3,Nssj,Jsjs
Ankush otawat,31,October,2019,October 2019,5,Well,Well
Suman k.,31,October,2019,October 2019,5,Nice,Nice product
indrajit.gill,31,October,2019,October 2019,4,Best,This is the best muesli. I would recommend to try ones.
jackfruit,1,November,2019,November 2019,5,Loved it,Great very healthy
K K,2,November,2019,November 2019,5,Best,Bsst
arnab das,2,November,2019,November 2019,5,Okay,It’s okay
Gaurangi,3,November,2019,November 2019,5,Healthy and tasty breakfast.,It's my favourite museli now. It's the best I have come across.
CV,3,November,2019,November 2019,5,Improve my health,Amazing breakfast
Amazon Customer,3,November,2019,November 2019,5,Very good,Good quality
ragupaavan,4,November,2019,November 2019,1,Not bad,It's not good flavor
Vijay,4,November,2019,November 2019,5,Super breakfast,Mixture of healthy ingredients with great taste and value for money
Anirudh Bhasin,4,November,2019,November 2019,5,Worth munching,Great taste and is healthy
B. VENKATESWARA REDDY,4,November,2019,November 2019,5,Good breakfast,Good breakfast products
Kcs,4,November,2019,November 2019,5,Excellent,Very good
Deepa Saji,4,November,2019,November 2019,2,Good for children,Sugar ladden
Radhika h,4,November,2019,November 2019,5,Must buy,Liked the product 👍👍👍
Lovely,4,November,2019,November 2019,4,👍,Good quality product
Chethan T,5,November,2019,November 2019,5,Good one,Good one
pradeep mitra,5,November,2019,November 2019,4,Breakfast cereal competition to the great K,Tasty and healthy start to my day.
P.P,5,November,2019,November 2019,5,Outstanding.,Tasty and nutritious.
Irina Das Sarkar,6,November,2019,November 2019,5,The absolute best,"If you're counting healthy calories, while being heavily dependent on quick breakfast fixes, this is where you search ends."
Surbhi,6,November,2019,November 2019,5,Protein nd nutrition,Soo testy
Sambhu,6,November,2019,November 2019,5,Good,Good
Snk,7,November,2019,November 2019,5,No nuts,add more nuts if for the same price or lower the cost
Arun K.,8,November,2019,November 2019,5,Loved it,Loved it as its full of nuts & seeds
Amazon Customer,9,November,2019,November 2019,1,Very bad taste,Very bad taste
Manish Kumar,9,November,2019,November 2019,2,Avoid,Kellogg's is far better in terms of taste and quality.
Yashdeep Z,9,November,2019,November 2019,5,Good good 😊👌,Good good 😊👌
Shiba arora,9,November,2019,November 2019,3,Expensive,not value for money! too expensive
Amazoncustomer,10,November,2019,November 2019,5,"Contains all the ingredients it claims, that too in plenty!","A wholesome breakfast! Yogabar cereals contain eveything it says it does. No exaggeration in that like Kellogg's. You could find pumpkin seeds, dried fruits, nuts etc in plenty and not for the namesake. Okay to pay slightly higher price because it's actually worth it."
Gopi,10,November,2019,November 2019,1,Not Worth Buying,Expected a better taste for the price..
K Sai Sharan,11,November,2019,November 2019,4,Tasty,Healthy tasty
Amazon Customer,11,November,2019,November 2019,5,Awsm,Nice product
Rohit Bidlan,11,November,2019,November 2019,5,Goid,Mst
Kindle Customer,11,November,2019,November 2019,5,My favourite muesli! And it's a bargain on Amazon deals!,"I love this product. I found it in a local shop and it rapidly became my favourite muesli, reminding me of my favourite one that I used to get in Lidl (shop in Europe). So I was thrilled when I not only found it on Amazon, but at a cheaper price than the local shop.
The item was delivered on time, as described, and I love it so much, I'm repeatedly keeping it in stock. It's oaty, with great amount of nuts & dried fruit to boot. I use it for daily cereal for breakfast, and my mother in law loves it with warm milk.
Thanks again, Amazon - and Yoga Bar!"
Zoi,13,November,2019,November 2019,5,Loveeeee it,The smell is so wonderful and it is so tasty and sooooo healthy... A big thumbs up
daminingutetamin18,14,November,2019,November 2019,4,Healthy breakfast,Packing is ideal
Nalini,15,November,2019,November 2019,2,Not good as they presented,Eat anytime is better than this one
nnd,16,November,2019,November 2019,5,Suprisingly Good and I really liked the taste.,It's an amazing product just go for it!
mayank sohar,17,November,2019,November 2019,3,The dark chocolate variant is better,This is nice but i like the dark chocolate variant more. This one is a bit bland for my taste.
Gandamalla mamatha,17,November,2019,November 2019,5,Good taste,Good product
PRIYA MURMU,18,November,2019,November 2019,5,Value for money,It is high in nutrients and very tasty
Gaurav Hans,18,November,2019,November 2019,5,Good quality ingredients,"Healthy mix of ingredients, decent flavor, overall a good option for ready made breakfast."
PRABHURAJ,18,November,2019,November 2019,4,Must for kids,Wow
Amazon Customer,21,November,2019,November 2019,5,Good for health,Excellent
NUPUR,22,November,2019,November 2019,5,I like it 😊,Good in taste with seeds
Sushil,25,November,2019,November 2019,1,Not good,I didn't like the taste
PU,26,November,2019,November 2019,5,Good for health,The taste was good and was full of nuts and seeds
ADI,27,November,2019,November 2019,4,Healthy and tasty breakfast," This is a perfect beginning for anyone in the morning.
It fulfills body and mind requirements in a balanced manner.
1. Light yet filling breakfast high in nutrition.
2. Rich in Nuts and dried fruits: Almonds, Raisins, Dried Cranberries.
3. Rich in Seeds: Pumpkin, Chia and Flax.
4. Fibre rich fruits and nuts, this fruits, nuts and seeds muesli will kickstart your mornings and unlock the power of your day.
5. Last but not the least the taste will also satisfy you.

INGREDIENTS
Whole Grains 50% (Rolled Oats, Brown Rice Flakes),
Dried Fruit 22% (Raisins, Cranberries, Apricots, Blackcurrants),
Seeds 18% (Quinoa, Pumpkin, Chia, Flax), Almonds, Soy Protein Flakes, Rice Bran Oil, Jaggery, Himalayan Pink Salt.

HOW TO USE
Just add the muesli to your bowl of milk. Pour some milk of your choice. Milk can also be replaced with yoghurt, cream or as a topping for desserts. You can also enjoy the taste as it is.
Amazon delivery was flawless.
Packaging was fine.
Please check my video and pictures for better idea.
Thank you."
Joey,27,November,2019,November 2019,5,"Worth trying,","Tried this product for the first time and it is really. A mixture of muesli, fruits n nuts. Healthy breakfast. Good flavoured"
shyonti sinha,27,November,2019,November 2019,5,Love it,I love this. It has every nut and seeds you can imagine. No inverted sugar which most brands have and smells amazing. The added sugar is Himalayan pink salt I mean the ingredients speak for itself. Totally worth every penny.
K. Kathir,29,November,2019,November 2019,4,Testy and healthy breakfast,"Super
Very testy
Value of money
Energy breakfast
Easy to ready"
Saumik Jain,30,November,2019,November 2019,1,Complete waste,"Received a faulty product , with red powder all over it , complete waste of money . You guys should conduct a proper QC before delivering a product."
ashwitha,30,November,2019,November 2019,5,"NO COMMENTS, ALL NUTRIENTS IN ONE PACK ,","NO COMMENTS, ALL NUTRIENTS IN ONE PACK ,"
pranav parekh,3,December,2019,December 2019,1,Too much artificial flavour in strawberry variant,"The amount of essence is way to much,xan know artificial smell of strawberry added to it.
Indeed got throat infection due to it"
Pankaj Meher,3,December,2019,December 2019,1,Worst product,"Worst product.
After using 1 time thrown in garbage."
Zuzana,3,December,2019,December 2019,5,😋,It's very tasty. 😋
Emily,3,December,2019,December 2019,5,Excellent,Taste wise 10/10
Ajit Yadav,5,December,2019,December 2019,1,Disappointed,There is something pink powder mix in this
KUNAL,5,December,2019,December 2019,5,Goid,Great product
Vijay,6,December,2019,December 2019,5,Excellent breakfast cereal,Excellent product and taste... Need to come up with larger packs of 1kg
Raj Ceramics,6,December,2019,December 2019,5,Good,Good product
Dinesh,7,December,2019,December 2019,5,Superb,Superb. Blindly purchase. Excellent product
Ayesha Sheeba/ Mohamed Riyas,8,December,2019,December 2019,5,Value for money,The product is much better than other brands because it is not overly priced and yet nutritious. It has a strong berry smell though which you will notice as soon as you open the pack. It comes in a zip lock pack so easy to store. More figs than other fruits in it.
gazala hitawala,8,December,2019,December 2019,5,A healthy treat,Healthy and tasty
harisankar,11,December,2019,December 2019,5,Nice.,I am buying it regularly
Amazon Customer,13,December,2019,December 2019,2,Strawberry flavour sucks,Strawberry flavour sucks..gives nausea feeling.. don't know how I'm going to complete full pack..no idea about other flavours but
satpal,13,December,2019,December 2019,5,Healthy,"Value for money
Good flavor"
AmaZon2014,14,December,2019,December 2019,1,Sugary breakfast,"Decently priced, but very sweet. People looking for healthy breakfast definitely don't like such a sugary cereal."
Anil,15,December,2019,December 2019,1,Pathetic pls don't buy now,"I was using that product since last year, this was November's batch product but now this was look pathetic & smell is also change. Why this looks sm reddish? Not worth of money"
Sarah,16,December,2019,December 2019,4,Great product,I'm using this from few days I feel its good n tasty
Poonam,16,December,2019,December 2019,5,Very healthy..,I just love this product.
Amazon Customer,18,December,2019,December 2019,1,Poor quality,It was very bad in quality I saw small insects in packet smells yuksss
Akanksha Pandey,19,December,2019,December 2019,5,Value for money,Amazing
Angela,20,December,2019,December 2019,5,GOOD PRODUCT,"Very good taste , healthy and amazing, definitely helped in adding some muscles on my frame when used with other good quality food sources like milk, and eggs. Highly recommend, would have been great if price was a little lesser since I confume 200g per day. Delivery took more than expected time."
mittu,23,December,2019,December 2019,5,4 out of 5,"my son is liking this strawberry taste alot.he is kin of eating it any time.
i also like it's taste.best is that it's contain with dried fruits n seeds
but it's little sweet so i don't like it with yogurt but overall it's delicious"
Amazon Customer,26,December,2019,December 2019,2,Now quality has been decreased,Earlier their quality was too good but now they have decreased the quality...disappointed this time with the quality...and ingredients.
Amazon Customer,26,December,2019,December 2019,4,Expensive but nothing else comes close to Yogabar,Is expensive but frankly noting in the Indian market comes even close. Larger packs making it more affordable should be considered by the brand
Customer,28,December,2019,December 2019,2,Disappointed this time,"I ordered this product for the second time. But this time its berries tastes pathetic.
Totally disappointed. 😣"
Reader,28,December,2019,December 2019,4,Healthy breakfast!,"As promised, Quality and taste of the Muesli was excellent. Will buy it again!"
Chander marria,28,December,2019,December 2019,5,FLAVOUR AND QUALITY IS AWESOME,SIRAAAAAAAAAAAAA
SRUJAN AY.,29,December,2019,December 2019,5,Superb,Just I can say extroridanarny..
Madhur,29,December,2019,December 2019,5,good product,value for money
Sansh,6,January,2020,January 2020,1,Poor quality,The food quality is not upto the mark. I had a big stone. Highly disappointed for the money I spent on this.
harpreet singh,6,January,2020,January 2020,5,Healthy breakfast,Very rich and healthy
Amazon Customer,8,January,2020,January 2020,4,Try it,It tastes good with milk
Puja,8,January,2020,January 2020,5,Soo yummm n healthy too,"Really yummy n healthy..i enjoyed my breakfst so much.
But plz offer some more discount..its lil costly for daily breakfst option."
ROOPA JAYA RAO,15,January,2020,January 2020,5,Excellent,"Excellent product ...the best available,"
Amazon Customer,15,January,2020,January 2020,5,Healthy choice,Very fresh and delicious.
Off The Grid,17,January,2020,January 2020,5,Just buy without thinking twice,"I have tried several brands. This is the best combination of taste, nutrition and value for money. Just go for it."
Marjan,17,January,2020,January 2020,3,Its good,Flavor is tasty i like this product. But its not worth for money🙁
PJ,17,January,2020,January 2020,5,A good breakfast,Easy and wholesome
Hasmukh Ranmal,17,January,2020,January 2020,4,Taste is so delicious,Excellent product I loved it
Ajith,18,January,2020,January 2020,5,Liked,Liked
Komal,20,January,2020,January 2020,5,Nice,Nice
Deepak agarwal,21,January,2020,January 2020,4,"Good taste, value for money",The quality of this museli is very good.
Manav Joshi,22,January,2020,January 2020,5,Super se uppar product,"Every penny is worthfull in this product the product is marvellous in price, taste, flavours and presentation. The seeds of different plants like basil n flex also help to induce the flavour of product."
Arun,22,January,2020,January 2020,4,Good,Good one
phal,22,January,2020,January 2020,5,Awesome,"Awesome product all under one pack. Needn't go for separate nuts, seeds and cereals"
Amazon Customer,24,January,2020,January 2020,5,Number 1 quality museli,Number 1 quality muesli available in the market with affordable price.
Anu,25,January,2020,January 2020,4,Good breakfast option,It seemed to have more seeds than fruits or nuts 😬 Other than that a good breakfast option.
Vishal Pratap Singh,25,January,2020,January 2020,5,fruit and nut flavor,it's worth the money :) tastes really good. fully recommended :)
Pooja Gi,26,January,2020,January 2020,5,It's very tasty & healthy,Flavor is so yammy
Amazon Customer,28,January,2020,January 2020,5,Tammy and tasty with berry flavour,"PPL who try this flavour will surely love this...
It's as per description with its contents...
Good with strawberry flavour and its aroma tempts to eat it...
Though little high in cost, it is really worthy compare to other brands.

You can opt for this for a healthy and tasty breakfast muesli."
Tarannum Singhal,29,January,2020,January 2020,4,Decent,"Flavor - Feels very Raw
Presentation - Attractive
Value for money - cheaper options available"
Pramod K,30,January,2020,January 2020,5,Good,"Tasty, healthy and affordable."
Amazon Customer,2,February,2020,February 2020,5,Make two kilo bags,"Request yoga bar to make bigger quantity packs like 2kgs in all flavours,
Having Said that, we don't have to keep going to grocery store again and again and stopped our containers all the time"
Madhulika Sachan,3,February,2020,February 2020,5,Yummy,Great flavour and very healthy ingredients are there in one pack....
Shazia Iqbal,6,February,2020,February 2020,5,Mouthwatering,Yummy i love it
Gaurav,7,February,2020,February 2020,3,Unexpectedly bad experience with repeat order,"Based on earlier good experience this was repeat order but this time unexpectedly bad experience with the product. The item as you can see in the picture is not good in this order. The expiry date though is few months ahead.
Hoping for resolution."
Mahesh kanta Bagai,9,February,2020,February 2020,5,Very very tasty,I like the flavour & mixture of seeds
Partha roy,10,February,2020,February 2020,3,Not matched the hype,"Flavour is strawberry, no or very less fruit bits. Has lots of seeds though, pumpkin, chia and flax. I will not buy again."
sumathi,12,February,2020,February 2020,4,Good buy,Very flavourful.. hardly any sugar ..
Shiv Shankar Ash,16,February,2020,February 2020,2,Disappointing purchase.,"I'm a big fan of Yogabar range of Mueslis and order them frequently. I decided to buy the 700 gm super saver pack when it was cheaper during the great Indian sale. Got it for Rs 349. However, the pack was full of lumps rather than the usual consistency. It was really annoying as it altered the taste a lot. All the lumps were overtly sweet and rest of the muesli was dry and tasteless. Moreover, they didn't dissolve in milk and by the time it did, the rest of the cereal got soggy. I really hope it was a one time thing and won't happen again in the future. I'm still waiting to hear from Yogabars.
Hope this review is helpful."
Amazon Customer,25,February,2020,February 2020,5,Worth buying 👍,Very good 👍
Preman Supplyco,26,February,2020,February 2020,5,Awesome product,Awesome product.. really good in taste and enriched with fruit and nuts. Loved it
Rohit Biswas,27,February,2020,February 2020,5,Good product more fruits and seeds.,Good product more fruits and seeds.
Prabhu mundhra,28,February,2020,February 2020,5,Perfect,"Very yummy, no sugar required also it comes in a zipped lock bag hence no storage issues."
Shweta S.,29,February,2020,February 2020,4,Tasty,Taste is gud but overpriced. Similar products r available at lower price.
Shruthi Manamohana,29,February,2020,February 2020,5,Muesli yoga bar,Tasty and yummy filled with richness. Quick easy go breakfast
Oliver,1,March,2020,March 2020,1,Negligible nuts and fruits,Its mostly cereal with what feels like artificial fruit flavor.
Anand,1,March,2020,March 2020,1,Taste is not good,"I feel it has a added color.. n taste is not good at all.
Kellogg's is far better"
Hanna,1,March,2020,March 2020,5,Very good product,Must buy product.
Amazon Customer,2,March,2020,March 2020,4,Gud product,Product is gud but is on a costlier side. Very difficult to put in daily routine just because of price.
Nik,2,March,2020,March 2020,3,Full of seeds,Too many seeds very less fruits and nuts.
Joy M.,2,March,2020,March 2020,4,Yogabar Review,It is a great product with good taste
Parul s.,3,March,2020,March 2020,5,Taste is good but cost is tipoo hight,"Flavor is just awesome, full meal for healthy breakfast, with this milk hater can also consume milk because of this delicious taste, mix of 0.5 % seeds , 0.5% berries, 0.5% qinova and rest of all flavored wheat flacks, seeds, qinova and berries should be add more,but overall it is good,but cost is tooooo hight for this all mixtures so cost should be low"
Aditya dev,3,March,2020,March 2020,4,Excellent muesli,"Everything is perfect about this muesli, only if it was a bit cheaper 😁"
Aditya,3,March,2020,March 2020,5,Taste and health at best,It's really good in taste and for health
avichal,4,March,2020,March 2020,5,"Using it as a munching snack , working out great!","Will also try adding it to a smoothie soon. Good packaging, consistent product, good taste."
Latila,4,March,2020,March 2020,5,V.good,Its crisp and tasty.
Ravindra Kontham,5,March,2020,March 2020,3,Lesser Berries,The bigger pack I had bought earlier had a lot of berries but this smaller pack has hardly any berries in it. Go for bigger packing if you enjoy berries.
A sif,5,March,2020,March 2020,2,Good,Taste is decent.There were some lumps present in the box.
paridhi j.,5,March,2020,March 2020,4,"Healthy, tasty and stomach filling breakfast","It has great taste, not that sugary and perfect blend of all the necessary proteins."
Aleena Xavier,5,March,2020,March 2020,5,Delicious,It's delicious and healthy. Worth buying
chaitanya,6,March,2020,March 2020,5,Very good,Very tasty and healthy...
vijay,6,March,2020,March 2020,5,Good,Nice product
Ajay Gera,7,March,2020,March 2020,5,Tastey,"Yummy Taste, I like it."
Dipika Shroff,7,March,2020,March 2020,5,Love it,Tastes great and super healthy
PR,9,March,2020,March 2020,5,Love it!!,Love this breakfast cereal. Been having it for the last few months now. Very less sugar and nice to taste. The quality of the ingredients used are definitely of a very good quality. I hope they come up with some new flavors.
Tanmoy Panja,9,March,2020,March 2020,4,good for health..,Good for health...
Krishna,10,March,2020,March 2020,5,Healthy food,A very nice healthy breakfast/snack/dinner product
Amazon Customer,10,March,2020,March 2020,5,Superb,Liked both primary and secondary packaging
Alok Priyadarshi,10,March,2020,March 2020,5,Good breakfast option,Good breakfast option to start your day with.
Rahul Pawar,15,March,2020,March 2020,3,not worth it..,not as expected.
Arpitha Reddy,15,March,2020,March 2020,4,Taste,Tastes best
chinmai,20,March,2020,March 2020,5,Awesome,I just love it.
Ashanand,21,March,2020,March 2020,3,Nice.,Good Product.
veeresh,19,April,2020,April 2020,1,Never do,Worst never buy it’s only wast parts of all never buy
Ravi Singh,21,April,2020,April 2020,1,Didn't liked,Too much of flat rice....and hardly nuts
Soumya Gowda,30,April,2020,April 2020,4,Yoga bar,Very nice..
Webknight,1,May,2020,May 2020,3,Not so great,It tastes slightly sour and I'm not a big fan of it.
Khandekar Arefuz zaman,17,May,2020,May 2020,4,"If you are a muesli lover, go for it.",Tasty and nutritious. But lack of adequate dry fruits. I barely found one or two cranberry and raisin in the whole pack.
Ankita Kar,17,May,2020,May 2020,5,Nice healthy ond,Very good nd tasty
Shushant,18,May,2020,May 2020,5,Best,Best Muesli Ever
PBhullar,18,May,2020,May 2020,5,Cannot get better!!,Perfect muesli.. worth each penny.. wasn’t expecting to find such good quality muesli in India.. absolutely loved it !! Ordering more right away..
MNR,18,May,2020,May 2020,1,Diabetes,This product can be helpful for diabetes. Pl confirm
mahesh prabhudesai,19,May,2020,May 2020,5,Overall best product,Like the flavor! Super crunchy
Juhi YAGNIK,19,May,2020,May 2020,5,Awesome taste,Came in fresh and well packed
PRASHANTH S.,19,May,2020,May 2020,4,Nice taste,Good packing and it tastes awesome
Dinesh Goyal,20,May,2020,May 2020,4,good product,the taste is really good
ROHIT K.,20,May,2020,May 2020,2,Taste is just ok.,Not good. Taste is just ok.
AWADHESH KUMAR Singh,21,May,2020,May 2020,3,Fruits and nuts are far less than menetioned,"First thing, the product is crispy nicely packed in zipper pouch. But I do not have good experience as regard to quality. It is for sure, not having 22% of fruit and nut. Which was the main reason for me to go for it leaving Baggery. Perhaps Yogabar people are intending to do cost cutting by adding less while promising more. I can not return as per product return policy."
vasudha,21,May,2020,May 2020,5,Delivery,I have order two boxes and even paid amount for two boxe but today received ony one box
Amazon Customer,22,May,2020,May 2020,5,Perfect breakfast,It contains healthy dry fruits and seeds for good health...without added sugar hence nutritious
Duaa J.,23,May,2020,May 2020,4,Go for it.,"This tastes amazing. It is packed with nutrients and fibre and is a really simple remedy for a healthy breakfast. The dried apricots and berries are like treats. The smell though is very sweet and strong, it might bother a few people."
Meghali bezbaruah,23,May,2020,May 2020,4,Awesome product,Product is very good
Puneeth Kumar V.,24,May,2020,May 2020,5,Good taste and healthy,Good taste and healthy
pranav chaturvedi,24,May,2020,May 2020,4,awesome,nice product
Juhi Shirkar,25,May,2020,May 2020,5,Value for money,I received the product recently. I must this is value for money. This is a very yummy meal that can be had with milk. Taste is just too good. It has a lot of different healthy stuff in it. Crunchy as well. Must buy
Sushsmitha,25,May,2020,May 2020,5,Review,Good product.....flavor is good
Chandreshmangaroliya,25,May,2020,May 2020,5,Best alternative of cornflakes...,Value for money product
Navi,25,May,2020,May 2020,5,good,nice assorted muesli
Shruti,26,May,2020,May 2020,4,Very tasty delicious product,Awesome product very very tasty perfect for breakfast but quantity is very less for the given price
Shouvik D.,28,May,2020,May 2020,3,Not a healththier option,"Added sugars into it, so it's does not aid weight loss. Completely a cheaper alternative at heavier price. Do not consume it."
Amazon Customer,28,May,2020,May 2020,4,Nice product and Value for money,Nice taste. The product is having a zip lock which has a tight fit. The fruits quantity should be increased a little more which seems less when compared to museli
Anil Debata,28,May,2020,May 2020,4,Happy,Good product
RJ,29,May,2020,May 2020,4,GOOD MUESLI / LESS DRIED FRUITS.,"Pros: On opening the zip lock package, the aroma was just superb. Quantum of whole grains 50% (rolled oats and brown rice flakes) and seeds 18% (quinoa, pumpkin, chia and flax) seemed right and to my satisfaction.

Cons: Quantum of dried fruits 22% (apricots, black currants, cranberries and raisins) and almonds is akin to searching for a needle in a haystack.

Conclusion: Overall, I like this muesli due to the main ingredients of whole grains and seeds and have ordered the seven hundred grams packet. To increase the dried fruit content, I have purchased the two hundred grams packet of 'Nutty Gritties Mix Berries' containing dried black currants, blueberries, strawberries and cranberries to mix with the muesli (I hope Nutty Gritties does not disappoint).

I want to compare the above combination with Bagrry's Fruit 'n' Fibre, Mixed Fruit Muesli (consumed and enjoyed earlier) and decide which to settle for.

Four stars for the main ingredients; one star docked for less dried fruits."
Dhanya V S,29,May,2020,May 2020,4,Loved it,Attracting flavor.. Nicely packed..
Chakravarty D,30,May,2020,May 2020,5,Yummy and healthy treat,I really liked the taste and texture of the muesli. A bit costly but the overall product is amazing.
Suraj Mishra,30,May,2020,May 2020,5,Amazing buy,"Amazing one, great taste"
Rk,30,May,2020,May 2020,5,Healthy stuff,The product is worthy enough to be a part of your diet plan.
Apurva,30,May,2020,May 2020,5,Must try once,Loved it.
Rashi,31,May,2020,May 2020,3,too expensive,nice flavour but too high a price.
Shivam Kumar,31,May,2020,May 2020,5,It's very helpful for my body energy,"Yogabar is so natural and tasy .It's packaging is too good and new manf date
Yogabar is available at very low price
And really very helpful for my body and health.I really like it"
Manmath Kumar Behera,31,May,2020,May 2020,5,Healthy Food,Good for breakfast
Thelma,1,June,2020,June 2020,5,So good!,Love the flavor! This is hands down the best muesli I’ve had.
Amazon Customer,1,June,2020,June 2020,5,Tastes delicious,Very tasty
Devendra,1,June,2020,June 2020,5,Nice,Very nice taste
Amina khan,1,June,2020,June 2020,5,Different taste..,Awesome taste my boy luv to eat
Gursharan,2,June,2020,June 2020,5,Yummy healthy snack.,It tastes good. Contains healthy seeds & grain. Its an healthy ready to eat breakfast or snack option.
navneet kadian,3,June,2020,June 2020,4,Good but costly,"Taste- subjective. I like it though.
Healthy-no doubt"
Bijal c.,3,June,2020,June 2020,5,Museli lovers can go for it!!,"I tried the 3 flavours fruit n nut, almond and quinoa and cranberry 1 .. trust me amazing taste. Makes my breakfast amazing♥️ jus love it.."
Umashankar,4,June,2020,June 2020,5,"Healthy product, but a bit expensive!","This product is very healthy. Even the sugar levels are bare minimum. Highly recommended.
Considering the contents, it is really worth it if it is some 50-70 Rs lower. Hope the seller would consider it."
Atanu Bera,4,June,2020,June 2020,5,😍😍,Excellent taste andqualit.. A bit pricy though
Amazon Customer,4,June,2020,June 2020,5,Best muesli ever,This is the best muesli I ever had. Contains things as shown in the image. 100% recommended.
sridhar p.,4,June,2020,June 2020,5,Great,Better than kellogs and bagrys
Rijisha Mitra,4,June,2020,June 2020,5,Nice,Nice
Venkates,5,June,2020,June 2020,5,"Awesome, Yummy and what else?",Best Breakfast and post workout meal ever. Easy to digest and no after effects like Dizziness after having. But Dark Chocolate Cranberry is more yummy than Fruit and Nut. But still healthy!
Ravi Kumar,5,June,2020,June 2020,5,Kiddos Choice,Very healthy option for breakfast. It tastes like strawberry and packaging is nice.
Kasturi Das,5,June,2020,June 2020,4,Ok,Good product but price is high.
RAMIZ RAJA,5,June,2020,June 2020,5,Good product,Tasty and healthy
Jobee Philip,6,June,2020,June 2020,5,Delightfully nutritious cerral,"This is a perfect cereal for breakfast with lots of nuts, seeds and fruits... Tastes delicious with an irresistible flavour... Sure thing will be liked by all... Total value for money... No second thoughts before buying"
captainplanetbetter,6,June,2020,June 2020,3,Okay.,Was a bit stale.
Manish Tiwari,7,June,2020,June 2020,5,बेहतरीन स्वादिष्ट,बेहतरीन स्वादिष्ट Purchased first time and was having apprehensions about brand and quality. But found it very good. Would defintitely challenge dominance of existing brands.
sourabh goyal,7,June,2020,June 2020,5,It's really nice and addicting,"This has become my go to serial. Whenever I feel hungry and feel like eating junk food, I immediately open the box and eat it with some milk. Love the taste, flavour."
Vinay,7,June,2020,June 2020,5,Good product.,Priced higher.
Vasbhi,7,June,2020,June 2020,5,Tasty,Very very tasty museli 👌
Rachel,8,June,2020,June 2020,5,"Delicious, Healthy","The one that I ordered was for Muesli Fruits but I was handed chocolate one little annoyed I was but then it was all fine since it was kind of bonus deal for me I got two packets of chocolate one for the price of just one and taste-wise it was superb, kind of light, a lot of healthy things inside my 8 yrs old daughter would ask for it, again and again, seems she loved it.

I will be buying it again."
Amazon Customer,8,June,2020,June 2020,5,All's well,"It tastes, smells, and looks great. in fact, it is an amazingly healthy mix. The price could have been lowered a little for a super saver value pack of a kg considering the wholegrains (though they are trendy and healthier than refined grains) logically incur no cost of refining and are quite cheap in Indian markets."
Nisha,8,June,2020,June 2020,4,Great taste,Nice taste
Anoop C.,8,June,2020,June 2020,4,Happy to use.,Healthy and easy breakfast.
K.A. Raghavan,9,June,2020,June 2020,5,Good Product,Super taste...value for money
batskhem lyngkhoi,10,June,2020,June 2020,5,Wow,"Apart from aroma, taste and variety i also like the thing that i get a recently packed item which one does not get it from the market."
A Dash,10,June,2020,June 2020,5,So delicious 😋,Tried muesli for the first time and it is delicious as well as addictive.Thank you YogaBar and Amazon.
